iter	Passed	Remaining
918	1428	125
919	1430	124
920	1431	122
921	1433	121
922	1434	119
923	1435	118
924	1437	116
925	1438	114
926	1439	113
927	1441	111
928	1442	110
929	1444	108
930	1445	107
931	1446	105
932	1447	103
933	1449	102
934	1450	100
935	1451	99
936	1453	97
937	1454	96
938	1455	94
939	1457	93
940	1459	91
941	1460	89
942	1461	88
943	1463	86
944	1464	85
945	1466	83
946	1467	82
947	1469	80
948	1470	79
949	1471	77
950	1473	75
951	1474	74
952	1476	72
953	1477	71
954	1478	69
955	1479	68
956	1481	66
957	1482	65
958	1484	63
959	1485	61
960	1486	60
961	1488	58
962	1489	57
963	1491	55
964	1492	54
965	1493	52
966	1495	51
967	1496	49
968	1498	47
969	1499	46
970	1501	44
971	1502	43
972	1503	41
973	1505	40
974	1508	38
975	1510	37
976	1513	35
977	1514	34
978	1516	32
979	1518	30
980	1520	29
981	1523	27
982	1525	26
983	1527	24
984	1529	23
985	1531	21
986	1533	20
987	1535	18
988	1538	17
989	1540	15
990	1542	14
991	1544	12
992	1546	10
993	1548	9
994	1551	7
995	1553	6
996	1557	4
997	1559	3
998	1562	1
999	1564	0
