iter	RMSE
449	0.1783446323
450	0.1782231719
451	0.1776957366
452	0.1775646689
453	0.1774831802
454	0.1774066988
455	0.1772128636
456	0.1771736819
457	0.177034978
458	0.1768471271
459	0.1765445913
460	0.1764555785
461	0.1762307203
462	0.176055713
463	0.1758816761
464	0.1754204032
465	0.1752510781
466	0.1751633431
467	0.1750346572
468	0.1746608312
469	0.1745708017
470	0.1744901466
471	0.1743782924
472	0.1742600233
473	0.1741836238
474	0.1738106953
475	0.1736244885
476	0.1735328521
477	0.173388584
478	0.1730439218
479	0.172909297
480	0.1726848701
481	0.1724738565
482	0.1723673713
483	0.1721847473
484	0.1720841057
485	0.1719398356
486	0.1717149226
487	0.171599095
488	0.1714162276
489	0.1713262379
490	0.1712267738
491	0.1710657372
492	0.1707602508
493	0.1706796194
494	0.1705906894
495	0.1704933036
496	0.1704267254
497	0.1700042281
498	0.1698768703
499	0.1697932056
500	0.1696876502
501	0.1695438288
502	0.1692112481
503	0.1689884793
504	0.168902665
505	0.1688385995
506	0.1685586955
507	0.1684411147
508	0.1683093566
509	0.1682170347
510	0.168107228
511	0.1680395683
512	0.1680029705
513	0.1679361992
514	0.1676448646
515	0.1674758198
516	0.167312024
517	0.167247689
518	0.167018912
519	0.1669588237
520	0.1668256493
521	0.1664530573
522	0.1662302913
523	0.1661631575
524	0.1659764983
525	0.1659588442
526	0.1659030897
527	0.1658455058
528	0.1657268175
529	0.1655741415
530	0.1652271327
531	0.1651871499
532	0.1648945922
533	0.1647102497
534	0.1646276899
535	0.1645263518
536	0.1644807276
537	0.1643012027
538	0.164161404
539	0.1641388257
540	0.1639698204
541	0.1637848395
542	0.1636667904
543	0.1634908111
544	0.1633125141
545	0.1632248084
546	0.1631118119
547	0.1630097062
548	0.1629865093
549	0.1627491473
550	0.1626771456
551	0.1626050085
552	0.1623465203
553	0.1621342577
554	0.162010641
555	0.1618818384
556	0.161787545
557	0.1617100807
558	0.1616218634
559	0.1614077058
560	0.1613637363
561	0.161182216
562	0.1609292215
563	0.1607334978
564	0.1604930389
565	0.1604565747
566	0.1602275629
567	0.16012886
568	0.1599503139
569	0.1598613555
570	0.1596822401
571	0.1595645534
572	0.1594230738
573	0.1593437629
574	0.1592000672
575	0.1591001824
576	0.1589193669
577	0.1588420087
578	0.1587470455
579	0.1586522368
580	0.1586091439
581	0.1584875348
582	0.1584094454
583	0.1583101533
584	0.1581417835
585	0.1580350598
586	0.1579291397
587	0.1577871068
588	0.1576222957
589	0.15760285
590	0.1574874267
591	0.1574178193
592	0.157349309
593	0.1571371055
594	0.1570439123
595	0.1569184994
596	0.1567737854
597	0.1567043083
598	0.1565281953
599	0.156419917
600	0.1563536596
601	0.1562883448
602	0.1561866131
603	0.156019556
604	0.1559569193
605	0.1558498981
606	0.1556990887
607	0.1556794623
608	0.1555408449
609	0.1554788308
610	0.1553160141
611	0.1551771996
612	0.1550560699
613	0.1549539606
614	0.1548968586
615	0.1548427036
616	0.1547229395
617	0.15464746
618	0.1545923972
619	0.1544742762
620	0.1542842195
621	0.1542376442
622	0.1541020317
623	0.1540070982
624	0.1539272305
625	0.1538820681
626	0.1537526084
627	0.1536488642
628	0.1536061266
629	0.1534789065
630	0.1532838828
631	0.1531829116
632	0.153127865
633	0.1530244062
634	0.1529773592
635	0.1528844883
636	0.1528086063
637	0.1527094949
638	0.152654818
639	0.1526195301
640	0.1525471489
641	0.1524469403
642	0.152344739
643	0.152260691
644	0.1522177432
645	0.1521446838
646	0.1521000747
647	0.1519735604
648	0.1518500582
649	0.1517382753
650	0.15156805
651	0.1514287656
652	0.1513752973
653	0.151359659
654	0.151289507
655	0.151269905
656	0.1512058945
657	0.1511107329
658	0.1510662244
659	0.1509616601
660	0.1508550806
661	0.1507101519
662	0.1505915162
663	0.1504674871
664	0.1503874735
665	0.1503237212
666	0.1502764304
667	0.1502612434
668	0.1502140668
669	0.1501600427
670	0.1501341489
671	0.1500873336
672	0.1500176641
673	0.1500042771
674	0.149888836
675	0.1498206035
676	0.1497200303
677	0.149683498
678	0.1496061908
679	0.1494844165
680	0.1494676044
681	0.1494068414
682	0.1493426852
683	0.149306309
684	0.1491626443
685	0.1490608498
686	0.148957535
687	0.1488865414
688	0.1488184364
689	0.1487634974
690	0.1486696395
691	0.148594318
692	0.1485376764
693	0.1484388808
694	0.1483764716
695	0.1483600503
696	0.1481831001
697	0.148133716
698	0.1480862333
699	0.1480265869
700	0.1479637729
701	0.1479348701
702	0.1478836554
703	0.1477941741
704	0.1477788438
705	0.1477205059
706	0.1476530243
707	0.1476073399
708	0.1474630249
709	0.1474403514
710	0.1473887871
711	0.1473084508
712	0.1472599878
713	0.1472092898
714	0.1471542753
715	0.1470909316
716	0.1470052252
717	0.1469642845
718	0.1468695089
719	0.1468228309
720	0.1467959557
721	0.1467746202
722	0.1467323918
723	0.1466829394
724	0.1466267534
725	0.1465460869
726	0.1464234675
727	0.1463259394
728	0.1462664133
729	0.1461735728
730	0.1460977467
731	0.1460240295
732	0.145963611
733	0.1458923306
734	0.1458329046
735	0.1458017318
736	0.1457279021
737	0.1456547886
738	0.1456113011
739	0.1455799021
740	0.1455453209
741	0.1455393904
742	0.1454831722
743	0.1454266519
744	0.1452948944
745	0.1452180294
746	0.1451545774
747	0.1450720173
748	0.1450163531
749	0.1449494031
750	0.1449072354
751	0.1448451477
752	0.1448036351
753	0.1447250826
754	0.1446743044
755	0.1445866593
756	0.1445356863
757	0.1444893035
758	0.1444387326
759	0.1443993561
760	0.1443385617
761	0.1442969207
762	0.1442857146
763	0.144244234
764	0.1441689115
765	0.1441552656
766	0.1441369409
767	0.1440848571
768	0.1440445446
769	0.1439606783
770	0.1439496787
771	0.143867132
772	0.143838128
773	0.1437919521
774	0.1437532194
775	0.1436256582
776	0.1435866443
777	0.1435116497
778	0.1434301184
779	0.1433383195
780	0.1432312136
781	0.1431575457
782	0.143088664
783	0.1430775029
784	0.1430075431
785	0.1429704674
786	0.142926869
787	0.142892997
788	0.1428446244
789	0.1428019169
790	0.1427773098
791	0.1427502051
792	0.1427122686
793	0.1426714179
794	0.1426133417
795	0.1425506007
796	0.1424979763
797	0.142443344
798	0.1423771651
799	0.1423422687
800	0.1423089957
801	0.1422761603
802	0.1422454712
803	0.1421740431
804	0.1421460994
805	0.1420943402
806	0.1420475962
807	0.1419875155
808	0.1419355863
809	0.1418700533
810	0.1418018733
811	0.1417729497
812	0.141690269
813	0.1416291374
814	0.1415953508
815	0.141539979
816	0.1415066666
817	0.1414081466
818	0.1413569302
819	0.1412850875
820	0.1412451744
821	0.141199436
822	0.1411881949
823	0.1411155346
824	0.141076964
825	0.1410187841
826	0.1409747233
827	0.1409221136
828	0.140881414
829	0.1408118478
830	0.1407322039
831	0.1407109187
832	0.1407032063
833	0.1406559177
834	0.1406289273
835	0.1405891745
836	0.1405492696
837	0.1405013139
838	0.1404597434
839	0.140426629
840	0.1403734552
841	0.1403382569
842	0.1403150335
843	0.1402554882
844	0.1402256946
845	0.1402176482
846	0.1401185796
847	0.1400621313
848	0.1400289161
849	0.1399828943
850	0.1399575177
851	0.1398977942
852	0.1397893859
853	0.1397464626
854	0.1397117845
855	0.1396380092
856	0.1395813764
857	0.1395447577
858	0.1394926657
859	0.1394482037
860	0.1394097959
861	0.1393756162
862	0.1393505663
863	0.139326084
864	0.139256134
865	0.1392280902
866	0.1391865825
867	0.1391294916
868	0.1390667232
869	0.1389814466
870	0.1389361426
871	0.1388946239
872	0.1388581185
873	0.13882445
874	0.1387746333
875	0.1387219585
876	0.1386968519
877	0.1386560442
878	0.138622146
879	0.1385860069
880	0.1385403812
881	0.1384978822
882	0.1384909563
883	0.1384568159
884	0.1384393648
885	0.1384166727
886	0.1383700594
887	0.1383596838
888	0.1383313321
889	0.1382888468
890	0.1382425748
891	0.1382042924
892	0.1381148714
893	0.1380963975
894	0.1380563655
895	0.1380164896
896	0.1379744523
897	0.1379240576
898	0.1379014902
899	0.1378696799
900	0.1378367804
901	0.1377796281
902	0.1377425993
903	0.1376841184
904	0.1376599096
905	0.1376371322
906	0.137631153
907	0.1375981829
908	0.1375548015
909	0.1375237481
910	0.1374738415
911	0.1374479512
912	0.1374118578
913	0.1373771471
914	0.1373314786
915	0.137317729
916	0.1372699824
917	0.1372516324
918	0.1372128375
919	0.1371755299
920	0.137138755
921	0.1371074631
922	0.1370534796
923	0.1370080208
924	0.1369780393
925	0.1369146885
926	0.136882413
927	0.1368425411
928	0.1368078762
929	0.1367503718
930	0.1367322922
931	0.1367070959
932	0.136678684
933	0.1366608166
934	0.1366152955
935	0.1365842419
936	0.1365526035
937	0.1365151624
938	0.1364810814
939	0.1364598102
940	0.136446775
941	0.1363583699
942	0.1363230256
943	0.1362837752
944	0.1362303426
945	0.1362004729
946	0.1361789105
947	0.1361271196
948	0.1360906893
949	0.136057806
950	0.1360218198
951	0.1359722876
952	0.1359437343
953	0.1359098042
954	0.1358685514
955	0.1358421666
956	0.1357963641
957	0.135781278
958	0.1357538182
959	0.1357203384
960	0.1357035238
961	0.1356688021
962	0.1356573579
963	0.135626664
964	0.1356049233
965	0.1355818531
966	0.1355367394
967	0.1354834247
968	0.1354598858
969	0.1354362984
970	0.1354141024
971	0.1353766701
972	0.1353602117
973	0.1353413756
974	0.1353050073
975	0.1352764142
976	0.1352399329
977	0.1351949513
978	0.1351686513
979	0.1351009203
980	0.1350755891
981	0.135053518
982	0.135032543
983	0.1350128932
984	0.1349768207
985	0.1349435723
986	0.1349270497
987	0.1349172833
988	0.1348929269
989	0.1348586941
990	0.1348304334
991	0.1348074547
992	0.1347961014
993	0.1347740333
994	0.1347143063
995	0.134688982
996	0.1346167675
997	0.1346002991
998	0.1345663794
999	0.1345373974
